start,image,end,size,far,insns,ncalls,ncallers,ints,sets_ds,strings
06d0:82fa,0effa,06d0:8582,648,1,253,0,14,,0,""
06d0:8592,0f292,06d0:8645,179,1,70,0,1,,1,""
06d0:865a,0f35a,06d0:870d,179,1,70,0,1,,1,""
06d0:870e,0f40e,06d0:873b,45,1,18,1,1,10,0,""
06d0:873c,0f43c,06d0:875f,35,0,15,0,5,,1,""
06d0:8760,0f460,06d0:877d,29,0,13,0,6,,1,""
06d0:877e,0f47e,06d0:88e4,358,1,146,0,3,,1,""
06d0:88e4,0f5e4,06d0:8909,37,0,17,0,1,,1,""
06d0:8908,0f608,06d0:8925,29,0,13,0,8,,1,""
06d0:8926,0f626,06d0:89c5,159,1,70,0,22,,1,""
06d0:89c6,0f6c6,06d0:89dc,22,0,10,0,10,,0,""
06d0:89dd,0f6dd,06d0:8abc,223,1,92,0,0,,0,""
06d0:8abc,0f7bc,06d0:8adf,35,0,15,0,7,,1,""
06d0:8ae0,0f7e0,06d0:8afe,30,0,18,0,2,,1,""
06d0:8afe,0f7fe,06d0:8c63,357,1,161,0,4,,1,""
06d0:8c64,0f964,06d0:8c87,35,0,21,0,2,,1,""
06d0:8c88,0f988,06d0:8ca5,29,0,13,0,2,,1,""
06d0:8ca6,0f9a6,06d0:8d42,156,1,70,0,3,,1,""
06d0:8d42,0fa42,06d0:8d54,18,1,10,0,1,10,0,""
06d0:8d54,0fa54,06d0:8d77,35,0,15,0,0,,1,""
06d0:8d78,0fa78,06d0:8d9b,35,0,15,0,3,,1,""
06d0:8d9c,0fa9c,06d0:8e20,132,1,51,0,0,,1,""
06d0:8e20,0fb20,06d0:8fcb,427,0,207,0,0,,0,""
06d0:8fca,0fcca,06d0:908d,195,1,71,1,13,,1,"WINDOW"
06d0:908d,0fd8d,06d0:9870,2019,0,1800,1,0,,1,""
06d0:986e,1056e,06d0:98a8,58,1,25,0,2,,0,""
06d0:98a8,105a8,06d0:98cb,35,0,15,0,2,,1,""
06d0:98cc,105cc,06d0:98e9,29,0,13,0,0,,1,""
06d0:98ea,105ea,06d0:9a4f,357,1,148,0,0,,1,""
06d0:9a50,10750,06d0:9a73,35,0,15,0,1,,1,""
06d0:9a74,10774,06d0:9a91,29,0,13,0,1,,1,""
06d0:9a92,10792,06d0:9b2e,156,1,71,0,2,,1,""
06d0:9b2e,1082e,06d0:9b4c,30,1,10,2,1,,0,""
06d0:9b4c,1084c,06d0:9b82,54,1,20,2,0,,0,""
06d0:9b82,10882,06d0:9b8c,10,1,5,0,4,,0,""
06d0:9b8c,1088c,06d0:9ba3,23,1,9,1,1,,0,""
06d0:9bb5,108b5,06d0:9bdf,42,1,16,1,2,,0,""
06d0:9be0,108e0,06d0:9bf1,17,1,9,0,1,,0,""
06d0:9bf1,108f1,06d0:9c50,95,1,44,0,3,,0,""
06d0:9c50,10950,06d0:9c74,36,1,16,0,0,,0,""
06d0:9c74,10974,06d0:9ddf,363,1,146,1,1,,1,""
06d0:9de0,10ae0,06d0:9e53,115,1,46,0,4,,1,""
06d0:9e54,10b54,06d0:9f1a,198,1,81,1,1,,1,""
06d0:9fbc,10cbc,06d0:9fdf,35,1,15,1,1,,0,""
06d0:9fe8,10ce8,06d0:a2ef,775,1,298,0,1,,1,""
10ff:0010,11000,10ff:0036,38,1,20,0,1,,0,""
10ff:0036,11026,1104:0000,26,0,14,0,2,,0,""
1104:002c,1106c,1104:007c,80,0,39,2,4,,1,""
1104:007c,110bc,1104:015c,224,0,90,1,1,11,0,""
1104:0161,111a1,1104:03d2,625,1,271,0,1,,1,""
1104:03d1,11411,1104:03ea,25,0,14,1,1,21,0,""
1104:03ea,1142a,1104:03f6,12,0,8,0,1,,1,""
1104:03f6,11436,1104:04bc,198,0,73,7,0,20 21,1,""
1104:04bc,114fc,1104:0580,196,1,82,1,1,21,1,""
1104:0580,115c0,1104:0597,23,0,9,1,2,,0,""
1104:0597,115d7,1104:05de,71,0,26,3,2,21,0,""
1104:05de,1161e,1104:060b,45,0,18,0,1,21,1,""
1104:060b,1164b,1104:061e,19,0,9,0,3,,0,""
1104:061e,1165e,1104:0648,42,1,16,1,2,,0,""
1104:0648,11688,1104:066c,36,1,19,0,2,,0,""
1104:066c,116ac,1104:0692,38,1,17,2,1,,0,""
1104:0692,116d2,1104:0824,402,0,203,0,1,,1,""
1104:0824,11864,1104:088a,102,1,57,1,1,,1,""
1104:088a,118ca,1104:08b5,43,1,26,0,1,,0,""
1104:08b5,118f5,1104:08e0,43,1,21,1,4,21,0,""
1104:08e0,11920,1104:0942,98,1,41,1,1,21,0,""
1104:0948,11988,1104:0976,46,0,21,0,1,,0,""
1104:0976,119b6,1104:0a38,194,1,76,7,15,,0,""
1104:0a38,11a78,1104:0a6c,52,1,25,1,0,,0,""
1104:0a6c,11aac,1104:0a99,45,1,22,2,15,,0,""
1104:0a9a,11ada,1104:0add,67,1,28,3,7,,0,""
1104:0ade,11b1e,1104:0afd,31,1,13,1,5,,0,""
1104:0afe,11b3e,1104:0b40,66,1,29,3,1,,0,""
